Family,Species,SVL_mm,SVL_conf,Mass_g,Mass_conf,Brain size,Brain_conf,Eye_vol_mm3,Eye_conf,SSD,N,Activity time,Habitat type,Light availability,Water turbidity,Foraging mobility,Defensive strategies,Mating system
Ranidae,Hylarana guentheri,58.81,± 0.70,17.54,± 0.60,36.61 ± 2.33,,132.64,± 24.86,0.044,56,D,A,,O,Q,N,M
Microhylidae,Kaloula rugifera,38.91,± 1.30,7.57,± 0.70,8.18 ± 0.17,,14.1, ± 2.95,0.095,2,D,T,O,,Q,N,M
Megophryidae,Megophrys shapingensis,72.58, ± 2.10,29.94, ± 1.30,22.55 ± 0.62,,175.74, ± 39.02,0.089,2,N,A,,T,S,Y,M
Microhylidae,Microhyla ornata,20.62,± 0.40,0.73,± 0.10,4.90 ± 0.32,,3.2,± 0.44,0.013,5,N,A,,O,Q,N,M
Dicroglossidae,Nanorana parkeri,54.74,± 1.00,17.53,± 1.60,17.86 ± 2.37,,54.13,,0.056,1,N,A,,O,Q,N,M
Dicroglossidae,Nanorana ventripunctata,35.49, ± 0.50,4.26, ± 0.90,14.03 ± 1.10,,22.75, ± 4.28,0.049,3,N,A,,O,Q,N,M
Ranidae,Odorrana grahami,67.62, ± 2.50,27.45, ± 3.40,55.83 ± 2.28,,161.26, ± 59.68,0.043,16,N,A,,T,Q,N,M
Ranidae,Odorrana hejiangensis,46.55, ± 1.10,7.45,± 0.50,20.74 ± 1.53,,86.13,± 10.30,0.264,4,N,A,,T,Q,N,M
Ranidae,Odorrana margaretae,71.97, ± 0.60,33.19,± 0.70,61.82 ± 1.01,,210.83,± 2.93,0.104,2,N,A,,T,Q,N,M
Ranidae,Odorrana schmackeri,82.36,± 6.43,42.14,± 6.61,39.92 ± 3.13,,275.93,± 38.28,0.254,4,N,A,,T,Q,N,M
Megophryidae,Oreolalax rugosus,52.68,,9.45,,33.56,,82.6,,0.023,1,N,A,,T,S,Y,M
Dicroglossidae,Paa boulengeri,73.48,± 6.30,52.73, ± 10.00,41.57 ± 0.45,,243.98,± 21.76,0.035,2,N,A,,T,Q,N,M
Dicroglossidae,Paa yunnanensis,60.56, ± 4.80,30.02, ± 4.10,41.07 ± 7.54,,131.7,± 19.63,0.025,2,N,A,,T,Q,N,M
Ranidae,Pelophylax hubeiensis,51.25, ± 14.54,18.71,± 12.61,28.88 ± 5.23,,61.54,± 21.18,0.065,4,D,A,,O,Q,N,M
Ranidae,Pelophylax nigromaculatus,67.91,± 2.20,28.3,± 2.30,39.70 ± 2.50,,246.53,± 40.54,0.058,4,D,A,,O,Q,N,M
Ranidae,Pelophylax plancyi,55.34, ± 1.60,22.63, ± 1.50,27.41 ± 0.78,,148.2, ± 44.43,0.085,3,D,A,,O,Q,N,M
Ranidae,Pelophylax pleuraden,45.47,± 0.80,8.36, ± 0.60,25.76 ± 3.18,,56.16,± 20.92,0.056,29,D,A,,O,Q,N,P
Rhacophoridae,Polypedates megacephalus,43.62, ± 1.20,5.36, ± 0.40,30.99 ± 1.91,,86.81,± 10.38,0.136,17,N,T,C,,S,N,P
Ranidae,Rana chaochiaoensis,50.38, ± 2.60,9.53,± 1.30,22.87 ± 1.53,,61.85,,-0.006,1,D,T,C,,Q,N,M
Ranidae,Rana kukunoris,45.59, ± 1.80,9.21,± 1.00,21.11 ± 1.23,,48.4,± 11.01,0.041,7,D,T,O,,Q,N,M
Ranidae,Rana omeimontis,48, ± 1.60,11.65, ± 1.40,39.42 ± 2.74,,62.62,± 14.16,0.047,2,D,T,O,,Q,N,M
Ranidae,Rana zhenhaiensis,52.74, ± 2.90,14.6, ± 3.80,21.04 ± 1.89,,73.37, ± 9.46,0.016,5,D,T,C,,Q,N,M
Rhacophoridae,Rhacophorus chenfui,38.58, ± 0.70,5.75, ± 0.70,17.77 ± 7.29,,41.39, ± 6.86,0.14,2,N,T,C,,S,N,P
Rhacophoridae,Rhacophorus dennysi ,74.89, ± 4.78,20.08,± 3.91,94.78 ± 3.22,,267.43,± 84.35,0.084,2,N,T,C,,S,N,P
Rhacophoridae,Rhacophorus dugritei,42.15,± 0.60,5.35, ± 0.20,23.18 ± 0.83,,45.02,± 8.84,0.147,6,N,T,C,,S,N,P
Rhacophoridae,Rhacophorus omeimontis,59.82, ± 1.70,11.61,± 0.80,44.69 ± 2.88,,162.31,± 37.59,0.081,11,N,T,C,,S,N,P
Megophryidae,Scutiger muliensis,62.96, ± 1.76,33.18, ± 0.70,33.86 ± 5.91,,99.89, ± 0.52,-0.061,2,N,A,,T,S,Y,M
