Scientific name,Common name,Group,Wt in kg,Axial (mm),Reference for axial length,Reference for weight,Quality
Bubo virginianus,Great horned owl,Birds,3.58,38,Murphy (1985),Note 23,Group 5
Bucorvus cafer,Southern ground hornbill,Birds,3.25,27.458,Note 30,Altman (1962),Group 6
Buteo buteo,Buzzard,Birds,2.55,23,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Buteo jamaicensis,Red-tail hawk,Birds,2.55,26,"Miller, Note 16",Perrins (1985),Group 2
Cacatua galerita,Sulfur crested cockatoo,Birds,0.3115,13.26,"Murphy, Note 14","Murphy, Note 14",Group 1
Cardinalis sinuatus,Pyrrhuloxia,Birds,0.03,5.01,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Cathartes aura,Turkey vulture,Birds,10.47,19,Note 30,Note 28,Group 7
Catharus guttatus,Hermit thrush,Birds,0.0947,9.071,Hughes (1977),Hughes (1977),Group 3
Choriotis kori,Bustard,Birds,7.77,30.022,Note 30,Altman (1962),Group 6
Ciconia ciconia,White stork,Birds,3.35,21.664,Note 30,Altman (1962),Group 6
Columba livia,Pigeon,Birds,0.315,11.62,Martin (1991),Terres (1980),Group 3
Corvus brachyrhynchos,Crow,Birds,1.0005,15.157,Hughes (1977),Hughes (1977),Group 3
Corvus monedula,Jackdaw,Birds,0.79,15,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Cygnus cygnus,Trumpeter swan,Birds,5.6,13.65,"Murphy, Note 14","Murphy, Note 14",Group 1
Delichon urbica,House martin,Birds,0.0325,7.2,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Dromaius novaehollandiae,Emu,Birds,13.61,26.97,"Murphy, Note 14","Murphy, Note 14",Group 1
Dromaius novaehollandiae,Emu,Birds,23.59,30.65,"Murphy, Note 14","Murphy, Note 14",Group 1
Eudyptes chrysocome,Rockhopper penguin,Birds,23.34,22.7,Howland (1984),Note 26,Group 5
Falco sparverius,American kestral,Birds,0.112,12.454,Note 30,Altman (1962),Group 6
Falco tinnunculus,Kestrel,Birds,0.2033,14.936,Hughes (1977),Hughes (1977),Group 3
Fregata aquila,Ascension frigatebird,Birds,1.405,19.655,Note 30,Altman (1962),Group 6
Callus domesticus,Chicken,Birds,0.6741,13.25,Note 30,Altman (1962),Group 6
Gavia stellata,Red-throated loon,Birds,1.549,14.471,Note 30,Altman (1962),Group 6
Grus americana,Wild whooping crane,Birds,5,16.51,"Murphy, Note 14","Murphy, Note 14",Group 1
Grus canadensis,Sandhill crane,Birds,1.651,18.579,Note 30,Altman (1962),Group 6
Haliaeetus vocifer,African fish eagle,Birds,3.5,23.523,Note 30,Altman (1962),Group 6
Hirundo rustica,Barn swallow,Birds,0.0255,9.314,Hughes (1977),Hughes (1977),Group 3
Hydrobates pelagicus,Storm petrel,Birds,0.0465,6.75,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Lagopus lagopus,Willow ptarmigan,Birds,0.541,11.604,Note 30,Altman (1962),Group 6
Larus Philadelphia,Bonaparte's gull,Birds,0.205,12.249,Note 30,Altman (1962),Group 6
Larus argentatus,Herring gull,Birds,0.535,16.542,Note 30,Altman (1962),Group 6
Larus delawarensis,Ring-billed gull,Birds,0.72,17.225,Note 30,Altman (1962),Group 6
Larus ridibundus,Black headed gull,Birds,1.045,11.5,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Leptoptilus crumeniferus,Marabou stork,Birds,7.13,25.35,Note 30,Altman (1962),Group 6
Melopsittacus undulatus,Budgie,Birds,0.0077,6,"Miller, Note 16",Note 22,Group 4
Mergus serrator,Red-breasted merganser,Birds,0.77,11.734,Note 30,Altman (1962),Group 6
Motacilla flava,Yellow wagtail,Birds,0.0327,9.314,Hughes (1977),Hughes (1977),Group 3
Nymphicus hollandicus,Cockatiel,Birds,9.155,8.5,"Miller, Note 16",Note 22,Group 4
Nyroca affnis,Lesser scaup,Birds,1.041,11.929,Note 30,Altman (1962),Group 6
Nyroca marila,Greater scaup,Birds,0.787,10.102,Note 30,Altman (1962),Group 6
Passer domesticus,House sparrow,Birds,0.0367,6.417,Hughes (1977),Hughes (1977),Group 3
Pelecanus occidentalis,Brown pelican,Birds,3.29,19.523,Note 30,Altman (1962),Group 6
Phalacrocorax carbo,Great cormorant,Birds,3.63,15,Rochon-DuVigneaud (1943),Terres (1980),Group 3
Phasianus colchicus,Ring-necked pheasant,Birds,0.625,14.601,Note 30,Altman (1962),Group 6
Phoeniconaias minor,Lesser flamingo,Birds,1.5405,12.572,Note 30,Altman (1962),Group 6
Puffinus griseus,Sooty shearwater,Birds,0.268,12.416,Note 30,Altman (1962),Group 6
Puffinus puffinus,Manx shearwater,Birds,0.442,11.82,Martin (1991),Terres (1980),Group 3
Quiscalus quiscula,Common grackle,Birds,0.237,8.1,Rochon-DuVigneaud (1943),Perrins (1985),Group 3
Ramphastos toco,Toco toucan,Birds,0.625,18.37,"Murphy, Note 14","Murphy, Note 14",Group 1
Serinus canarius,Island canary,Birds,0.0162,5.496,Note 30,Altman (1962),Group 6
Spheniscus humboldti,Humboldt penguin,Birds,25.046,20.5,Sivak (1987b),Note 27,Group 5
Spheniscus magellanicus,Magellanic penguin,Birds,25.29,27.3,Howland (1984),Note 25,Group 5
Strix aluco,Tawny owl,Birds,0.4145,22.854,Hughes (1977),Hughes (1977),Group 3
Strix nebulosa,Great gray owl,Birds,4,14,Rochon-DuVigneaud (1943),Perrins (1990),Group 3
Struthio camelus,Ostrich,Birds,99.2008,44.22,Hughes (1977),Hughes (1977),Group 3
Sturnus vulgaris,European starling,Birds,0.0762,7.92,Martin (1991),Terres (1980),Group 3
Sylvia atricapilla,Blackcap,Birds,0.007,7.75,Rochon-DuVigneaud (1943),Terres (1980),Group 3
Unknown,Owl,Birds,0.09,10.817,Hughes (1977),Hughes (1977),Group 3
Unknown,Parrot,Birds,0.3605,15.157,Hughes (1977),Hughes (1977),Group 3
Acipenser ruthenus,Sterlet,Fishes,37.19,6,Rochon-DuVigneaud (1943),Note 13,Group 5
Acipenser ruthenus,Sterlet,Fishes,66.27,6,Rochon-DuVigneaud (1943),Wheeler (1985),Group 3
Alosa alabamae,Alabama shad,Fishes,0.615,10.381,Note 30,Altman (1962),Group 6
Aplodinotus grunniens,Freshwater drum,Fishes,0.937,15.906,Note 30,Altman (1962),Group 6
Balistes capriscus,Grey triggerfish,Fishes,0.295,12.529,Note 30,Altman (1962),Group 6
Callionymus lyra,Dragonet,Fishes,0.535,3.6,Rochon-DuVigneaud (1943),Note 21,Group 5
Carangoides bartholomaei,Yellow jack,Fishes,4.812,22.775,Note 30,Altman (1962),Group 6
Caranx hippos,Crevallejack,Fishes,2.305,26.878,Note 30,Altman (1962),Group 6
Carassius auratus,Goldfish,Fishes,0.0108,3.456,Hughes (1977),Hughes (1977),Group 3
Carcharias littoralis,Sand shark,Fishes,35.605,30.421,Note 30,Altman (1962),Group 6
Coregonus clupeaformis,Lake whitefish,Fishes,0.7726,11.377,Note 30,Altman (1962),Group 6
Coryphaena hippurus,Common dolphinfish,Fishes,19.04,33.427,Note 30,Altman (1962),Group 6
Cyprinus carpio,Common carp,Fishes,1.051,12.07,Note 30,Altman (1962),Group 6
Dasyatis pastinaca,Common stingray,Fishes,1.83,12,Rochon-DuVigneaud (1943),Allyn (1947),Group 3
Dasyatis sabina,Atlantic stingray,Fishes,17.58,26.165,Note 30,Altman (1962),Group 6
Epinephelus itajara,Itajara,Fishes,32.89,26.972,Note 30,Altman (1962),Group 6
Erpetoichthys calabaricus,Reedfish,Fishes,0.568,2.25,Rochon-DuVigneaud (1943),Note 21,Group 5
Esox lucius,Northern pike,Fishes,0.363,14.204,Note 30,Altman (1962),Group 6
Euthynnus alletteratus,Little tunny,Fishes,6.291,27.025,Note 30,Altman (1962),Group 6
Gadus ogac,Greenland cod,Fishes,2.5715,25.022,Note 30,Altman (1962),Group 6
Galeocerdo cuvier,Tiger shark,Fishes,200,37.227,Note 30,Altman (1962),Group 6
Gymnothorax funebris,Green moray,Fishes,3.51,9.338,Note 30,Altman (1962),Group 6
Haemulon plumieri,Grunt,Fishes,0.3,13.778,Note 30,Altman (1962),Group 6
Haplochromis burtoni,African cichlid fish,Fishes,0.319,4.037,Kroger (1994),Note 8,Group 5
Itiophorus albicans,Atlantic sailfish,Fishes,25.2,40.785,Note 30,Altman (1962),Group 6
Labrus melops,Corkwing wrasse,Fishes,0.333,2.2,Rochon-DuVigneaud (1943),Note 21,Group 5
Labrus mixtus,Cuckoo wrasse,Fishes,0.333,8.5,Rochon-DuVigneaud (1943),Nelson (1984),Group 3
Lachnolaimus maximus,Hogfish,Fishes,0.48,14.273,Note 30,Altman (1962),Group 6
Leuciscus rutilus,Roach,Fishes,0.264,3.5,Rochon-DuVigneaud (1943),Note 21,Group 5
Lutjanus analis,Mutton snapper,Fishes,2.49,22.367,Note 30,Altman (1962),Group 6
Melanogrammus,Haddock,Fishes,3.275,24.815,Note 30,Altman (1962),Group 6
Mycteroperca bonaci,Black grouper,Fishes,2.712,19.755,Note 30,Altman (1962),Group 6
Myoxocephalus,Longhorn sculpin,Fishes,0.782,10,"Miller, Note 16",Note 21,Group 4
Negaprion brevirostris,Lemon shark,Fishes,92.987,15,Hueter (1991),Allyn (1947),Group 3
Neogobius fluviatilis,Monkey goby,Fishes,0.394,4.8,Rochon-DuVigneaud (1943),Note 21,Group 5
Ocyurus chrysurus,Yellowtail snapper,Fishes,0.255,13.495,Note 30,Altman (1962),Group 6
Oncorhynchus mykiss,Rainbow trout,Fishes,2.75,13.654,Note 30,Altman (1962),Group 6
Oncorhynchus mykiss,Rainbow trout,Fishes,0.9,6.4,Rochon-DuVigneaud (1943),Note 9,Group 4
Perca flavescens,Yellow perch,Fishes,0.1795,8.805,Note 30,Altman (1962),Group 6
Periophtalmus barbarus,Mudhopper,Fishes,0.1714,5.33,Rochon-DuVigneaud (1943),Note 19,Group 5
Petromyzon marinus,Grand lamprey,Fishes,1.049,6,Rochon-DuVigneaud (1943),Carlander (1969),Group 3
Polypterus endlicheri,Bichir,Fishes,0.568,6,Rochon-DuVigneaud (1943),Note 21,Group 5
Porichthys notatus,Plainfin midshipman,Fishes,0.0101,3.75,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.0065,2.75,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.0056,3.375,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.009,4,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.0034,2.863,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.0094,3.75,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.005,3,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.0063,3,"Dissection, Note 6","Bass, Note 7",Group 1
Porichthys notatus,Plainfin midshipman,Fishes,0.0039,2.875,"Dissection, Note 6","Bass, Note 7",Group 1
Romboplites aurorubens,Vermilion snapper,Fishes,0.202,11.414,Note 30,Altman (1962),Group 6
Salmo salar,Atlantic salmon,Fishes,5.1415,16.674,Note 30,Altman (1962),Group 6
Salmo trutta,Sea trout,Fishes,0.292,11.027,Note 30,Altman (1962),Group 6
Salvelinus fontinalus,Brook trout,Fishes,0.615,4.75,Rochon-DuVigneaud (1943),Bellairs (1970),Group 3
Salvelinus namaycush,Lake trout,Fishes,2.87,16.928,Note 30,Altman (1962),Group 6
Scomberomorus,Spanish mackerel,Fishes,1.457,16.662,Note 30,Altman (1962),Group 6
Scyliorhinus stellaris,Cat shark,Fishes,102.25,16,Rochon-DuVigneaud (1943),Note 18,Group 5
Sinilabeo dero,Kalabans,Fishes,0.9186,3,Rochon-DuVigneaud (1943),Note 21,Group 5
Sphyraena barracuda,Great barracuda,Fishes,8.773,28.383,Note 30,Altman (1962),Group 6
Tetrapturus albidus,Atlantic white marlin,Fishes,24.94,46.371,Note 30,Altman (1962),Group 6
Thunnus thynnis,Northern bluefin tuna,Fishes,5.21,36.856,Note 30,Altman (1962),Group 6
Torpedo torpedo,Common torpedo,Fishes,0.345,9.132,Note 30,Altman (1962),Group 6
Trachinotus ovatus,Derbio,Fishes,8.504,35.875,Note 30,Altman (1962),Group 6
Aepyceros melampus,Impala,Mammals,37.86,29.506,Note 30,Altman (1962),Group 6
Alcelaphus cokei,Red Hartebeest,Mammals,134,29.208,Note 30,Altman (1962),Group 6
Artibeus cinereus,Gervais's fruit eating bat,Mammals,0.1035,4.4,Pettigrew (1988),Grzimek (1990),Group 3
Balaena mysticetus,Bowhead whale,Mammals,75000,45.571,Andersen (1971),Grzimek (1990),Group 3
Balaenoptera musculus,Blue whale,Mammals,105000,107,Altman (1962),Grzimek (1990),Group 3
Bos taurus,Beefalo,Mammals,816.47,37,"Miller, Note 16",Rouse (1973),Group 2
Bos taurus,Brown Swiss,Mammals,680.4,30,"Miller, Note 16",Gay (1914),Group 2
Bos taurus,Guernsey,Mammals,544.32,29,"Miller, Note 16",Gay (1914),Group 2
Bos taurus,Hereford,Mammals,907.19,30,"Miller, Note 16",Rouse (1973),Group 2
Bos taurus,Holstein,Mammals,759.78,28,"Miller, Note 16",Gay (1914),Group 2
Bos taurus,Jersey Cow,Mammals,521.64,37,"Miller, Note 16",Gay (1914),Group 2
Bos taurus,Red Angus,Mammals,691.74,31,"Miller, Note 16",Rouse (1973),Group 2
Bos taurus,Red Holstein,Mammals,873.17,30,"Miller, Note 16",Rouse (1973),Group 2
Bos taurus,Simmental,Mammals,918.53,25,"Miller, Note 16",Rouse (1973),Group 2
Canis latrans,Coyote,Mammals,8.51,18.658,Note 30,Altman (1962),Group 6
Cam's lupus,Wolf,Mammals,47.5,22.56,Andersen (1971),Grzimek (1990),Group 3
Canis lupus f. familiaris,Cocker spaniel,Mammals,9.07,21,"Miller, Note 16",Hutchinson (1935),Group 2
Canis lupus f. familiaris,Collie,Mammals,23.81,17,"Miller, Note 16",Hutchinson (1935),Group 2
Canis lupus f. familiaris,Doberman,Mammals,31.75,16,"Miller, Note 16",American Kennel Club (1938),Group 2
Canis lupus f. familiaris,Dog,Mammals,13.0723,20.146,Hughes (1977),Hughes (1977),Group 3
Canis lupus f. familiaris,Golden retriever,Mammals,27.9,22.5,"Miller, Note 16",American Kennel Club (1938),Group 2
Canis lupus f. familiaris,Pekingese,Mammals,3.4,17,"Miller, Note 16",Hutchinson (1935),Group 2
Canis lupus f. familiaris,Pomeranian,Mammals,9.07,20,"Miller, Note 16",Hutchinson (1935),Group 2
Canis lupus f. familiaris,Siberian huskie,Mammals,30.62,22,"Miller, Note 16",American Kennel Club (1938),Group 2
Canis lupus f. familiaris,Basset hound,Mammals,20.41,25,"Miller, Note 16",Hutchinson (1935),Group 1
Capra hircus,Dwarf goat,Mammals,27.66,25.843,Note 30,Altman (1962),Group 6
Capreolus capreolus,Roe deer,Mammals,17.5,22,Rochon-DuVigneaud (1943),Grzimek (1990),Group 3
Castor canadensis,American beaver,Mammals,5.005,9.578,Note 30,Altman (1962),Group 6
Castor fiber,European beaver,Mammals,24.35,11.28,Andersen (1971),Grzimek (1990),Group 3
Crocuta crocuta,Spotted hyena,Mammals,62.37,28.684,Note 30,Altman (1962),Group 6
Cystophora cristata,Hooded seal,Mammals,375,55,Sivak (1987a),Grzimek (1990),Group 3
Delphinapterus leucas,Beluga whale,Mammals,375.13,25.034,Note 30,Altman (1962),Group 6
Delphinus delphis,Common dolphin,Mammals,51.2277,20.564,Hughes (1977),Hughes (1977),Group 3
Diceros bicornis,Black rhinoceros,Mammals,764,23.621,Note 30,Altman (1962),Group 6
Didelphis virginiana,Opossum,Mammals,4.05,10,Martin (1991),Whitaker (1980),Group 3
Dugong dugon,Dugong,Mammals,143.2072,21.935,Hughes (1977),Hughes (1977),Group 3
Elephas asiaticus,Asian elephant,Mammals,4263.81,30.456,Andersen (1971),Grzimek (1990),Group 3
Elephas asiaticus,Asian elephant,Mammals,4263.81,40,"Miller, Note 16",Grzimek (1990),Group 2
Enhydra lutris,Sea otter,Mammals,27,14,Murphy (1990),Grzimek (1990),Group 3
Equus burchelli,Zebra,Mammals,338.1256,50.018,Hughes (1977),Hughes (1977),Group 3
Equus burchelli,Zebra,Mammals,300,35,"Miller, Note 16",Grzimek (1990),Group 2
Equus caballus,1/2 Arabian,Mammals,430.92,41,"Miller, Note 16",Patten (1960),Group 3
Equus caballus,American saddlebreed,Mammals,476.28,40,"Miller, Note 16",Patten (1960),Group 2
Equus caballus,Appaloosa,Mammals,504.63,32,"Miller, Note 16",Patten (1960),Group 2
Equus caballus,Arabian,Mammals,430.92,36,"Miller, Note 16",Patten (1960),Group 6
Equus caballus,Connemara,Mammals,351.54,42,"Miller, Note 16",Patten (1960),Group 3
Equus caballus,Horse,Mammals,694.3845,41.962,Andersen (1971),Hughes (1977),Group 3
Equus caballus,Horse,Mammals,694.3845,40.733,Hughes (1977),Hughes (1977),Group 3
Equus caballus,Morgan,Mammals,476.28,37,"Miller, Note 16",Patten (1960),Group 3
Equus caballus,Palomino,Mammals,476.28,34,"Miller, Note 16",Patten (1960),Group 2
Equus caballus,Pinto,Mammals,453.6,36,"Miller, Note 16",Patten (1960),Group 6
Equus caballus,Quarter Horse,Mammals,487.62,38,"Miller, Note 16",Patten (1960),Group 3
Equus caballus,Shetland pony,Mammals,99.2008,39.324,Hughes (1977),Hughes (1977),Group 6
Equus caballus,Standard bred,Mammals,907.19,42,"Miller, Note 16",Gay (1914),Group 3
Equus caballus,Thoroughbred,Mammals,476.28,45,"Miller, Note 16",Gay (1914),Group 3
Equus caballus,Welsh Pony,Mammals,238.74,35,"Miller, Note 16",Patten (1960),Group 3
Erignathus barbatus,Bearded seal,Mammals,281,33.263,Note 30,Altman (1962),Group 6
Felis capensis,Cape cat,Mammals,7.687,20.211,Note 30,Altman (1962),Group 6
Felis catus,Cat,Mammals,3.0544,21.935,Hughes (1977),Hughes (1977),Group 3
Felis lynx,Lynx,Mammals,8.7952,30.456,Andersen (1971),Grzimek (1990),Group 3
Felis lynx,Lynx,Mammals,8.7932,23.192,Hughes (1977),Hughes (1977),Group 3
Felis ocreata,Kaffir cat,Mammals,2.7,15.535,Note 30,Altman (1962),Group 6
Felis oreqonensis,Mountain lion,Mammals,28.79,17.522,Note 30,Altman (1962),Group 6
Gazella thomsoni,Thomson's gazelle,Mammals,24.37,24.953,Note 30,Altman (1962),Group 6
Genetta tigrina,Large spotted genet,Mammals,1.4135,12.796,Note 30,Altman (1962),Group 6
Giraffa camelopardalis,Giraffe,Mammals,1468.5137,48.147,Hughes (1977),Hughes (1977),Group 3
Herpestes auropunctatus,Indian mongoose,Mammals,1.5,9,Nellis (1989),Grzimek (1990),Group 3
Hippopotamus amphibius,Hippopotamus,Mammals,1351,29.213,Note 30,Altman (1962),Group 6
Hippotragus niger,Sable antelope,Mammals,225,30,"Miller, Note 16",Grzimek (1990),Group 2
Ichneumia albicauda,White-tailed mongoose,Mammals,4.4,13.278,Note 30,Altman (1962),Group 6
Kogia breviceps,Pygmy Sperm Whale,Mammals,500,18,"Miller, Note 16",Grzimek (1990),Group 2
Lama glama,Llama,Mammals,142.5,35,"Miller, Note 16",Grzimek (1990),Group 2
Lama guanicoe,Guanaco,Mammals,100,36,"Miller, Note 16",Grzimek (1990),Group 2
Lama Pacos,Alpaca,Mammals,60,33,"Miller, Note 16",Grzimek (1990),Group 2
Lepus arcticus,Arctic hare,Mammals,2.2705,13.98,Note 30,Altman (1962),Group 6
Loxodonta africana,African elephant,Mammals,4754.6439,51.206,Hughes (1977),Hughes (1977),Group 3
Lutra lutra,Otter,Mammals,8.1706,13.283,Hughes (1977),Hughes (1977),Group 3
Macroderma gigas,Ghost bat,Mammals,0.11,7,Pettigrew (1988),Grzimek (1990),Group 2
Macropus giganteus,Eastern gray kangaroo,Mammals,49,24.816,Andersen (1971),Grzimek (1990),Group 3
Marmota monax,Woodchuck,Mammals,4.575,11,"Miller, Note 16",Grzimek (1990),Group 2
Megaderma lyra,Asian false vampire bat,Mammals,0.11,4.2,Pettigrew (1988),Grzimek (1990),Group 3
Megaptera novaeangliae,Humpback whale,Mammals,43035,61.24,Hughes (1977),Hughes (1977),Group 3
Mesoplodon bidens,Sowerby's beaked whale,Mammals,1666.67,24,"Miller, Note 16",Grzimek (1990),Group 2
Mustela arctica,Arctic weasel,Mammals,0.1452,4.258,Note 30,Altman (1962),Group 6
Mustela putorius f. furo,Ferret,Mammals,0.66,7.5,"Murphy, Note 14","Murphy, Note 14",Group 1
Nasua narica,White-nosed coatimundi,Mammals,6.25,11.091,Note 30,Altman (1962),Group 6
Nyctophilus gouldi,Gould's long eared bat,Mammals,0.027,1.9,Pettigrew (1988),Grzimek (1990),Group 3
Odobenus rosmarus,Walrus,Mammals,667,24.963,Note 30,Altman (1962),Group 6
Odocoileus virginianus,Whitetail Deer,Mammals,77.5,22,"Miller, Note 16",Grzimek (1990),Group 2
Ommatophoca rossi,Ross seal,Mammals,183.8193,29.326,Hughes (1977),Hughes (1977),Group 3
Ornithorhynchus anatinus,Duckbilled platypus,Mammals,1.4595,4.64,Duke-Elder (1963),Grzimek (1990),Group 3
Otocyon megalotis,Bat-eared fox,Mammals,3.335,13.961,Note 30,Altman (1962),Group 6
Ovis aries,Sheep,Mammals,52.1,26.113,Note 30,Altman (1962),Group 6
Panthera leo,Lion,Mammals,185,41,"Miller, Note 16",Grzimek (1990),Group 2
Panthera onca,Jaguar,Mammals,34.47,21.614,Note 30,Altman (1962),Group 6
Panthera tigris,Tiger,Mammals,197.5,30,"Miller, Note 16",Grzimek (1990),Group 2
Panthera tigris tigris,White tiger,Mammals,197.5,32,"Miller, Note 16",Grzimek (1990),Group 2
Phacochoerus aethiopicus,Warthog,Mammals,83.7853,30.2,Hughes (1977),Hughes (1977),Group 3
Phoca groenlandica,Harp seal,Mammals,150,29.328,Andersen (1971),Grzimek (1990),Group 3
Phoca hispida,Ringed seal,Mammals,39.72,34.727,Note 30,Altman (1962),Group 6
Phoca richardii,Spotted seal,Mammals,107.3,32.847,Note 30,Altman (1962),Group 6
Phocoena phocoena,Harbor porpoise,Mammals,142.43,32.198,Note 30,Altman (1962),Group 6
Phocoena phocoena,Harbor porpoise,Mammals,65,19,Rochon-DuVigneaud (1943),Grzimek (1990),Group 3
Phocoenoides dalli,Dall's porpoise,Mammals,135,22,"Miller, Note 16",Grzimek (1990),Group 2
Physeter catodon,Sperm whale,Mammals,39009,55.286,Note 30,Altman (1962),Group 6
Pipistrellus pipistrellus,Common pipistrelle,Mammals,0.0055,1.4,Rochon-DuVigneaud (1943),Grzimek (1990),Group 3
Plecotus auritus,Brown long-eared bat,Mammals,0.0085,2.707,Andersen (1971),Grzimek (1990),Group 3
Plecotus auritus,Brown long-eared bat,Mammals,0.0085,2.1,Rochon-DuVigneaud (1943),Grzimek (1990),Group 6
Potamochoerus porcus,Bush pig,Mammals,102.1577,23.192,Hughes (1977),Hughes (1977),Group 3
Potos flavus,Kinkajou,Mammals,2.62,10.363,Note 30,Altman (1962),Group 6
Pteropus giganteus,Flying fox,Mammals,1.5,9.65,Neuweiler (1962),Grzimek (1990),Group 3
Rangifer tarandus,Reindeer,Mammals,189,30,"Miller, Note 16",Grzimek (1990),Group 2
Raphicerus campestris,Steenbok,Mammals,8.62,20.56,Note 30,Altman (1962),Group 6
Redunca redunca,Bohor Reedbuck,Mammals,31.7,26.918,Note 30,Altman (1962),Group 6
Rhinoceros unicornis,Greater Indian rhinoceros,Mammals,3538.06,23,Duke-Elder (1963),Grzimek (1990),Group 3
Rhinolophidae rouxi,Pennisular horseshoe bat,Mammals,0.022,1.8,Pettigrew (1988),Grzimek (1990),Group 6
Rupicapra rupicapra,Chamois,Mammals,38,28.877,Andersen (1971),Grzimek (1990),Group 3
Sus scrofa,Wild boar,Mammals,182,24.8,Altman (1962),Grzimek (1990),Group 3
Syncerus caffer,African buffalo,Mammals,759,31.782,Note 30,Altman (1962),Group 6
Tachyglossus aculeatus,Short-nosed echidna,Mammals,4.5,8,Hughes (1977),Grzimek (1990),Group 3
Taphozous georgianus,Common sheathtail bat,Mammals,0.0165,3.7,Pettigrew (1988),Grzimek (1990),Group 3
Tapirus bairdii,Baird's tapir,Mammals,58.06,20.564,Note 30,Altman (1962),Group 6
Tragelaphus scriptus,Bushbuck,Mammals,40.53,28.71,Note 30,Altman (1962),Group 6
Trichechus inunguis,Manatee,Mammals,400,13.5,Rochon-DuVigneaud (1943),Grzimek (1990),Group 3
Trichechus manatus,West Indian manatee,Mammals,490.96,32.525,Note 30,Altman (1962),Group 6
Unknown,Bat,Mammals,0.0238,1.967,Hughes (1977),Hughes (1977),Group 3
Urocyon cinereoargenteus,Grey fox,Mammals,3.759,13.3,Note 30,Altman (1962),Group 6
Vulpes lagopus,Arctic fox,Mammals,3.385,15.027,Note 30,Altman (1962),Group 6
Vulpes vulpes,Red fox,Mammals,6.25,21,"Miller, Note 16",Grzimek (1990),Group 2
Wallabia bicolor,Swamp wallaby,Mammals,13.85,11.4,Duke-Elder (1963),Grzimek (1990),Group 3
Callitrix jacchus,Common marmoset,Primates,0.33,12.544,Troilo (1993),Grzimek (1990),Group 3
Cercopithecus aethiops,Vervet monkey,Primates,4.185,17.278,Note 30,Altman (1962),Group 6
Cercopithecus mitis,Blue monkey,Primates,2.9,17.979,Note 30,Altman (1962),Group 6
Galago senegalensis,Northern Lesser Bushbaby,Primates,0.2,12.938,Note 30,Altman (1962),Group 6
Gorilla gorilla,Gorilla,Primates,167.5,22.5,Altman (1962),Grzimek (1990),Group 3
